阅读日期,文献标题,关键词,摘要,期刊,年份,要点总结,0-5,subject1-特征点识别算法,情绪,Posture
2018/8/12,一种利用手指图像测量人体心率的方法,数字图像处理;光电容积脉搏波;图像频谱分割;智能手机;心率,"在智能手机上,仅利用手机摄像头采集手指颜色的变化图像,实现人体心率的测量.采用图像频谱分割法对采集的手指图像进行滤波,结合3种像素包含的信息及包含的信息的差异性,利用3种像素功率密度谱加权计算出光电容积脉搏波.通过相隔点检测波峰法检测光电容积脉搏波信号,测出人体心率.将测量结果与标准仪器测量结果进行对比,平均误差为1.82%,与真实值的相关系数大于90%,证明了从手指图像测量出人体心率参数的可靠性.将该测量方法应用到手机上,能极大地方便慢性病人对自己健康状态的监控.",西安电子科技大学学报(自然科学版)JOURNALOFXIDIANUNIVERSITY,2014,利用智能手机摄像头采集人的心率信息的详细实现过程，包括图像的采集（主要关心采样时间）、脉搏波信号的获取（傅里叶变换方法）以及心率的计算方法（相隔点检测法，可消除平缓波峰和静脉波波峰的影响），该检测心率的方法与ECG标定，最大误差4.22%,4,TRUE,,
2018/8/13,容积脉搏成像特征提取方法研究及在生理信号检测的应用,容积脉搏成像;特征提取;心率;脉搏波传导时间;血氧饱和度,"脉搏波蕴藏了丰富生命信息。通过对脉搏波的形态、强度、速度和节律的分析,可以获得生理和病理特征。在环境光条件下使用摄像头能提取容积脉搏波,它是借助容积脉搏成像(Photoplethysmographicimaging,PPGi)检测血液容积变化的方法,通过计算PPGi图像像素均值使二维信号转化为一维信号可以获得容积脉搏波。日益普及带有摄像头智能手机和移动式个人终端设备提供了一个低成本和泛在式的健康感知平台,人们可以在非医院、非约束的环境下使用移动终端设备长时间实时动态地评估个人的健康状况,达到对疾病的早期预警、早期预防、早期发现、早期诊断和早期治疗的目的。可以预料,受智能终端设备巨大市场潜力的驱动,PPGi检测生理信息的应用前景广大,它对移动医疗的推广和普及具有重要的现实意义,可以称之为泛在式生命体征检测的一个新方法。然而由于PPGi受到光照环境、摄像头对光的敏感度、低采样率和运动伪迹等因素的限制,目前PPGi的应用仅仅局限于心率和呼吸率的检测。基于以上问题,本文首先针对在不同光照环境下PPGi特征进行深入分析,然后开发基于PPGi的容积脉搏波特征点提取方法,最后提出基于PPGi的心率、脉搏波传导时间(PulseTransitTime,PTT)和血氧饱和度(BloodOxygenSaturation,SpO2)检测方法。本文开展以下几项研究:(1)研究在不同光照环境下PPGi的特征。光源波长和摄像头对PPGi有着重要的影响,实验分别使用不同波长光和光强作为照明光评估基于PPGi特征。研究结果表明:不同波长光下基于PPGi计算的心率与金标准(金标准指当前临床医学界公认的诊断疾病的最可靠、最准确、最好的诊断方法)心率具有良好的一致性,仅仅在470nm、490nm、505nm、585nm、600nm、610nm、625nm、660nm波长光和白光作为照明光下,基于PPGi的容积脉搏波与金标准PPG信号波形具有良好的相关性;在600nm、610nm、625nm、660nm波长光和白光作为照明光下,随着光强增加,基于PPGi的容积脉搏波直流强度增加,但是交流强度有一个增加到下降的趋势。这些结果表明照明光的波长不会影响到PPGi计算心率,而照明光的波长和光的强度会影响PPGi的特征,为深入挖掘基于PPGi的生理信息检测提供理论基础。(2)研究基于PPGi的容积脉搏波特征点提取方法。针对基于PPGi的容积脉搏波具有基线漂移较大、采样率低及分光现象等问题,提出基于PPGi的容积脉搏波特征点提取方法:提出使用重排平滑伪Wigner-Ville分布方法计算基",博士论文,2015,,,,,
2018/8/15,EEMD在同时消除脉搏血氧检测中脉搏波信号高频噪声和基线漂移中的应用,脉搏波信号;人体血氧饱和度;高频噪声;基线漂移;总体平均经验模态分解;排列熵,"人体血氧饱和度是基于脉搏波信号测量得到的,然而在脉搏波信号采集的过程中存在着由人体呼吸和仪器本身热噪声等带来的基线漂移和高频噪声,影响人体血氧饱和度的测量精度。因此,该文提出一种总体平均经验模态分解(EnsembleEmpiricalModeDecomposition,EEMD)与基于排列熵(PermutationEntropy,PE)的信号随机性检测相结合的方法,同时消除基线漂移和高频噪声。对脉搏波信号进行EEMD分解,计算分解到得到的内在模式分量的排列熵,选取阈值,分别判断并剔除代表高频噪声和基线漂移的内在模式分量。最后信号重构就得到同时消除高频噪声和基线漂移的脉搏波信号。通过自行研制的测量装置所采集的脉搏波信号进行实验验证,利用信号的频谱和交直流比R评价效果。结果表明:该方法有效地同时消除了脉搏波信号中的高频噪声和基线漂移,这将有利于人体血氧饱和度测量精度的提高。","电子与信息学报
JournalofElectronics&InformationTechnology",2015,该文对改进的经验模态分解算法去除高频噪声和基线漂移的算法进行详细地阐述，其大致原理是先通过EEMD得到m个分量IMF，再计算这m个分量的排列熵PE，根据这些分量的排列熵，设定一个阈值上限和下限，分别得到信号的高频噪声、脉搏波和基线漂移成分，再将高频噪声置零，基线漂移取平均处理，得到去高频噪声和基线漂移后的脉搏波信号；通过实际实验验证，去干扰后的信号R值（信号的交直流比）趋于稳定；另外，该文只讲了EEMD和EMD的区别，并没有讲EMD的具体原理,5,,,
,基于小波变换的脉搏波信号高频噪声与呼吸基线的同时消除,脉搏波信号;高频噪声;呼吸基线;小波变换,"目的光电容积脉搏波可用于血氧饱和度等人体生理参数的无创检测。由于信号采集过程中存在随机噪声等干扰及人体呼吸等生理活动,脉搏波信号中存在高频噪声和呼吸基线漂移,影响最终的人体生理参数测量精度。小波变换的多分辨性可使信号中的有用信息和噪声呈现出不同的特征。因此,本文提出采用基于小波变换的方法对脉搏波信号进行高频噪声和基线的消除。方法首先根据每层小波细节的能量分布和一个周期与整个多个周期的脉搏波信号最大分解层数确定分别代表高频噪声和呼吸基线的小波细节,然后同时消除了人体生理参数检测中脉搏波信号的高频噪声和呼吸基线。利用自行研制的光电容积脉搏波采集装置采集脉搏波信号,应用本文的方法同时消除信号中高频噪声和呼吸基线,并采用信号的频谱和交直流比《进行结果评价。结果经过小波变换的处理之后信号频谱高频段幅值明显降低交直流信号比的稳定性明显增强。结论小波变换有效地同时消除了高频噪声和呼吸基线将有利于血氧饱和度等人体生理参数无创检测精度的提高。",北京生物医学工程BeijingBiomedicalEngineering,2014,采用小波变换对脉搏波信号进行预处理，去除高频噪声和基线漂移，小波选取db10，其中有包含选取原则的公式，同样采用交直流调至比R来评估去除效果,3,,,
,基于小波变换的自适应滤波器消除脉搏波基线漂移,基线漂移；自适应滤波器；算法；小波；脉搏波,脉诊仪的研制中，由于呼吸运动和身体移位导致脉搏信号的基线漂移是必须克服的。本文提出了一种新的基于小波变换的自适应滤波器，其参考输入选择原始信号经小波分解后的高频分量。通过仿真和实际测量实验表明该方法能有效消除脉搏波的基线漂移。,中国医学物理学杂志ChineseJornalofMedicalPhysics,2004,提出了自适应小波滤除脉搏波基线漂移方法，涉及均方根的反馈系统,2,,,
2018/8/16,利用三次样条差值法抑制脉搏波基线漂移,脉搏波;基线漂移;三次样条差值,"目的脉搏波检测过程中,必须克服由于呼吸运动和身体移位会导致脉搏信号的基线漂移。本文提出一种基于三次样条差值的脉搏波基线漂移抑制方法。方法选择脉搏波的各个起始点为给定点,根据各个给定点的数值利用三次样条插值拟合出基线。然后用脉搏波在各个采样时间点上的采样值减去对应时间点上的基线函数数值,得到去基线的脉搏波波形。结果通过实际测量实验表明,脉搏波去基线后,基线比较平稳,波形比较稳定。结论三次样条差值法能有效抑制脉搏波的基线漂移,并且能够很好地应用在脉搏波实时检测中。",北京生物医学工程BeijingBiomedicalEngineering,2010,提出三次样条插值去除脉搏波信号基线漂移的方法，首先用差分方法找出起始点，再将起始点作为固定点进行三次样条插值拟合，将原始信号减去该拟合曲线达到去除基线漂移的目的。整个过程先将600个采样点，即6s的脉搏波数据传入缓存区进行处理，达到实时分析的目的,3,,,
,基于形态滤波的脉搏波信号基线漂移消除方法研究,脉搏波信号;基线漂移;形态滤波;结构元素,"脉搏中蕴涵着大量的人体生理病理信息,因此分析脉搏信号成为诊断亚健康状态的重要手段。但是由于呼吸运动和身体移位导致了脉搏信号的基线漂移,影响了诊断结果的正确性。针对基线漂移的去除需求,文章提出了一种基于形态学滤波的方法,该方法通过采用2种不同宽度的结构元素,对脉搏波信号进行广义形态开闭和闭开滤波,分离出基线漂移。实验结果表明,该方法能实时有效地滤除基线漂移,处理效果优于传统算法。",合肥工业大学学报(自然科学版)JOURNALOFHEFEIUNIVERSITYOFTECHNOLOGY,2011,提出用形态滤波的方法去除基线漂移，数学形态学原理介绍详细，滤除效果相较小波变换和经验模态分解处理后信噪比高,4,,,
,一种脉搏波和心电信号时域基线漂移消除方法,脉搏波;心电;基线漂移;特征点检测;插值,"目的:脉搏波和心电信号都是临床诊断的重要依据,但是基线漂移的存在影响了诊断的准确性,因此信号处理中首先要对信号去除基线漂移。方法:检测脉搏波和心电信号的时域特征点,将检测得到的特征点作为插值节点做插值得到时域的基线信号,原信号减去基线信号即得去除基线漂移的信号。为比较不同算法的差异,实验分别采用高斯滤波、中值滤波、形态学滤波和本文算法(插值拟合法)对同一信号进行基线漂移消除实验。结果:实验表明高斯滤波的结果最差,中值滤波和形态学滤波都能有效地去除基线漂移,但是失真却比较严重,而插值拟合法不仅能有效的去除基线漂移,同时也最大程度地保留了原信号的成分。结论:插值拟合法与其他3种方法相比,具有更好的鲁棒性和适应性,对于消除基线漂移有着良好的效果。",中国医学物理学杂志ChineseJournalofMedicalPhysics,2016,该文对心电信号先进行特征点识别，后对特征点插值拟合，得到基线；特征点选择极小值点，通过判断相邻两个极值点的间距是否大于设定的窗宽来判断该点的有效性,3,,,
,一种同时消除脉搏波信号中呼吸基线漂移和高频噪声的方法,脉搏波信号;呼吸基线漂移;高频噪声;经验模态分解;小波变换,"目的:基于光电容积脉搏波可以实现血氧饱和度等人体生理参数的无创检测。基于光电容积脉搏波测量时,由于信号采集过程中存在人体呼吸和仪器本身热噪声等干扰,脉搏波信号中存在着呼吸基线漂移和高频噪声,影响最终的人体生理参数测量精度。方法:因此提出一种在经验模式分解的过程中结合小波变换的方法,来同时消除呼吸基线漂移和高频噪声的影响。首先通过经验模态分解将脉搏波信号分解为若干内在模式分量,并分别判断出含有呼吸基线漂移和代表高频噪声的分量,对于代表高频噪声的分量采用类似小波变换的方法进行滤波,利用小波变换将含有呼吸基线漂移的分量分解,将代表呼吸基线漂移的小波细节置零,信号重构后就达到了同时消除呼吸基线和高频噪声的目的。利用自行研制的测量装置采集的脉搏波信号进行实验验证,并采用信号交直流比R和信号的频谱进行效果评价。结果:有效地同时消除了呼吸基线漂移和高频噪声。结论:该方法将有利于血氧饱和度等人体生理参数无创检测精度的提高。",中国医学物理学杂志ChineseJournalofMedicalPhysics,2014,借鉴了下文运用模态分解的方法对脉搏波进行高频噪声滤除，进一步设计了基线漂移算法，遵循含有基线漂移成分的均值不为0原则，所谓EMD和小波变换结合，是先将原始信号进行经验模态分解，得到IMF分量，再根据算法找出含有基线漂移和高频噪声成分的分量，再对含高频噪声分量进行类似小波变换滤波、对含基线漂移分量进行小波分解与重构，最后将所有有用信号进行重构得到最终信号,5,,,
2018/8/17,人体血氧饱和度检测中消除脉搏波信号高频噪声的方法,脉搏波信号;高频噪声;经验模态分解;连续均方误差,"基于光电容积脉搏波的方法可以用于人体血氧饱和度的无创检测,基于光电容积脉搏波测量时,由于信号采集过程中随机噪声等干扰,脉搏波信号中存在高频噪声,影响最终的血氧饱和度测量精度。提出采用基于连续均方误差(CMSE)准则的经验模态分解(EMD)法消除脉搏波信号中的高频噪声。利用自行研制的光电容积脉搏波采集装置采集脉搏波信号,应用该方法消除信号中高频噪声,并采用信号的频谱进行效果评价。结果表明:该方法有效消除了高频噪声,这将有利于人体血氧饱和度无创检测精度的提高。",光谱学与光谱分析SpectroscopyandSpectralAnalysis,2012,该文详细说明了经验模态分解EMD的算法原理，运用该算法进行脉搏波高频噪声的滤除，从信号的频谱看，滤除效果良好；其实现过程可大致描述为：满足判定条件的IMF分量，通过计算其各自的能量，找到高频噪声和信号主导边界，再将满足高频噪声主导的IMF分量进行软阈值去噪处理，最后进行信号重构完成滤除处理,5,,,
,一种消除脉搏波信号中呼吸基线漂移的方法,脉搏波信号;呼吸基线漂移;经验模态分解;小波变换,"该文提出一种在经验模式分解的过程中结合小波变换的方法,来消除呼吸基线漂移的影响。首先通过经验模态分解将脉搏波信号分解为若干内在模式分量,并判断出含有呼吸基线漂移信息的分量,再利用小波变换将这些分量分解,将代表呼吸基线漂移的小波细节置零,信号重构后就达到了消除呼吸基线的目的。利用自行研制的测量装置采集的脉搏波信号进行实验验证,并采用信号交直流比进行效果评价。结果表明该方法有效地消除了呼吸基线漂移,这将有利于血氧饱和度等人体生理参数无创检测精度的提高。",中国医疗器械杂志ChineseJournalofMedicalInstrumentation,2014,和上一篇韩庆阳的文章差不多，没有上一篇发表在中国医学物理学杂志的全面,1,,,
2018/8/18,,,,,,,,,,
2018/8/21,,,,,,,,,,
2018/8/22,基于安卓平台的脉搏波消噪与特征点识别,脉搏波;特征点识别;小波变换;安卓;混合编程,"人体脉搏信号中隐藏了重要的生理和病理信息,但由于采集到的脉搏波中混入了不同的噪声,严重影响了波形特征点的准确识别。因此在比较了傅里叶变换与小波变换滤波效果的基础上,选用小波变换的方法对脉搏波进行基线漂移和高频噪声的去除,极大地提高了脉搏波信号的信噪比,接着利用脉搏波的时空特点提出了一种识别6个关键特征点的快速算法。最后结合Matlab与Java语言各自的特点,采用混合编程的方式设计了实现上述算法的安卓客户端软件。经实际测试,脉搏波特征点的识别速度和识别准确率均达到了预期效果,具有很好的实用价值。",实验室研究与探索RESEARCHANDEXPLORATIONINLABORATORY,2016,主要借鉴该文对脉搏波b点和c点的识别方法，即阈值法，通过检测目标点是否为前后400个点（一个周期约750个点）的最大值进一步确认识别准确与否；另外，该文对脉搏波的6个特征点的生理含义、小波变换的原理如同教科书般地详细讲解；去噪和基漂均采用小波分解的方法；对于有的波形中不明显的d、e两点的识别，则基于其二次微分为零的原理；最重要的，该文介绍了小波分解各层频段的确定原理。2019.2.10Update，该文对脉搏波特征点识别的算法采用纯粹的幅度阈值方法，对于检测到的点，一是判断其是否在c点的幅度阈值范围内，二是要满足最值，方可认为其为c点波峰点。,5,TRUE,,
2018/8/23,基于二阶导数脉搏波极值点识别的算法,脉搏波;二阶导数;极值点,"该文主要是脉搏波极值点识别的研究,提出一种新的算法即基于二阶导数的极值点来对应原始脉搏波的拐点,阐述算法原理,将其与传统的针对原始波形的极值法进行对比,实践证明,基于二阶导数的极值点识别法更准确且稳定性较好",电脑知识与技术ComputerKnowledgeandTechnology,2013,该文采用二阶导数识别极值点的方法，认为二阶导数的极大值即为原始波形的极小值，二阶导数的极小值为原始波形的极大值，识别效果还不错，深受启发,4,TRUE,,
,脉搏波特征点的自动识别,波形识别；阈值法；斜率发；自学习功能,通过对脉搏波的自动处理，实现血液动力学无创性检测和监护是一项新技术。本文叙述脉搏波自动处理中的若干问题，根据脉搏波的特点提出一种脉搏波的周期和特征点的自动识别方法，以及这种方法在临床中的应用情况,信息与控制,1989,提出脉搏波六个特征点的有效识别方法：对于f、g两点的识别，根据时间特征量Tfb和Tgb，求极值，没有极值的按曲率最小原则确定两点，再没有就按时间特征量估计；计算机自识别算法指的是，根据每一段波的特点定一个阈值。2019/1/22Update，识别顺序：b、c、fg、d，其中fg和d点采用时间特征量+极值点/拐点的判断确定。该文认为，b、c点为上升沿斜率最大曲线与拐点水平线的交点。该文认为，身为一对儿极大极小值，b'和c’应该是一个波形周期内幅值最大的一对儿极值点，所以该文对这两点的识别采用动态阈值法。,4,TRUE,,
,脉搏波特征点的自动识别方法,,,华中理工大学学报J.HuazhongUniv.ofSci.&Tech.,1991,该文认为波形周期（Tb1'-Tb2'）中b1'是直线b1b2和过上升沿拐点且斜率为该拐点斜率的直线的交点；该拐点的识别方法为一阶差分的最大值。该文指出，一个脉搏波周期大概为700-1200ms时长，b1和c1的时间长度约为总周期时长的1/10，即70-120ms，该观点没有引用文献；该文提出在Tc和Tm之间搜索一对儿极大极小值，若有两对，则取后一对儿为fg点，识别顺序同上一篇89年的脉搏波特征点自动识别的文章。该文提出拐点的识别取二阶差分最大值。所谓差分阈值，是指在识别拐点e时，采用一阶差分斜率最大点识别，即二阶差分最大值，和bc点的阈值法识别方法类似，上文中的动态差分阈值亦如此。2019/3/6Update，重搏前波的两个特征点有两种情况，一种是在特定时间范围内的极大极小值对儿，另一种情况是不存在极大极小值，则识别波形在该时段，斜率由小变大的转折点，识别方法为二阶差分最值。,5,TRUE,,
2018/8/24,,,,,,,,,,
2018/8/27,,,,,,,,,,
2018/8/28,脉搏波信号采集与分析方法的研究,生命体征;脉搏波信号;信号采集;信号分析,"人体生命体征信息是指人体生理和病理信息,是判断病人的病情轻重缓急以及病情诊断的依据。脉搏信号是人体众多信号中较具代表性的一种,携带有丰富的人体健康状况信息。文章从目前使用较为广泛的两种脉搏信号采集方法出发,着重分析了压力脉搏波信号分析方法的临床适用性及应用现状,提出了应对脉搏波进行更为深入的研究,从而为人体脉搏波信号采集与分析系统的设计提供科学的依据。",电脑与信息技术ComputerandInformationTechnology,2014,对脉搏波分析处理方法的综述性文章，罗列了各个领域（波形构造、时频域分析等）比较有代表性的文章，略简单，没有应用方面的综述,3,,,
2018/8/29,,,,,,,,,,
2018/9/10,,,,,,,,,,
2018/9/11,心血管疾病健康评估系统关键技术研究,心血管疾病；脉搏波传播速度；光电容积脉搏波信号；Framingham风险分析,"本文应用多参数监护仪同步采集了心电、光电容积脉搏波和呼吸波信号,分别对其进行了分析和处理,并以此为基础,判定了心电和光电容积脉搏波信号各特征点之间的相关性,得到了其最相关的特征点,从而为应用光电容积脉搏波信号做替代性的心率及心率变异性检测提供了依据。",中南大学硕士学位论文,2010,背景介绍的蛮详细的，对于心血管疾病以及分析方法综述的比较全面吧，分别提取心电、脉搏波、呼吸波的特征并进行相关性分析，算法介绍也很详细，并且开发了软件分析算法,5,,,
